IdA	IdB	score	publications	detectionMethods	interactionTypes
P48525	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P21242	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46151	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15496	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03010	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08975	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38716	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03558	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03330	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38741	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32914	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53281	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53183	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53083	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32343	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04869	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04212	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46680	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47177	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36088	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32447	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P14359	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33399	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05775	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10963	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00925	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P30952	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39015	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23542	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32614	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03774	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12229	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P17967	P39940	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47137	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32419	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06738	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39683	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11154	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38322	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12298	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q01560	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38729	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12162	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23254	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38081	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06787	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53759	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40959	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53874	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P80210	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38697	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25561	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05979	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13550	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36121	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P41903	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13531	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P61864	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P49723	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53281	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40454	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38773	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P43582	Q12326	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P20095	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08968	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P07807	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P01094	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15019	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53839	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53864	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53759	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23542	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38081	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00950	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06367	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32381	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P30952	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47137	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11353	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P12612	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12122	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25044	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P34164	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53265	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P07170	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12306	P43582	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53982	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40318	P10963	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40318	P00925	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40825	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11154	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33399	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25617	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32288	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12007	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38758	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
